,0,1,2,3,4,5,6,7
7,58.82352941176471,57.788944723618094,0.0,0.0,0.0,52.6080476900149,2.3911187019641336,13.333333333333336
15,41.1764705882353,50.25125628140703,0.0,0.0,0.0,44.709388971684064,17.335610589239966,18.333333333333336
78,0.0,65.82914572864321,0.0,0.0,0.0,64.38152011922503,8.198121263877027,8.333333333333334
222,41.1764705882353,59.79899497487436,0.0,0.0,0.0,37.5558867362146,5.593509820666096,26.66666666666667
261,17.647058823529417,70.85427135678391,0.0,0.0,0.0,44.709388971684064,29.163108454312553,10.0
266,0.0,69.3467336683417,0.0,0.0,0.0,54.09836065573771,36.50725875320239,6.666666666666668
269,11.764705882352944,73.36683417085426,0.0,0.0,0.0,40.983606557377044,6.917164816396241,11.666666666666668
300,0.0,83.91959798994974,0.0,0.0,0.0,48.1371087928465,32.4935952177626,15.0
347,17.647058823529417,58.29145728643215,0.0,0.0,0.0,35.02235469448584,4.654141759180186,3.333333333333333
430,11.764705882352944,49.748743718592955,0.0,0.0,0.0,33.084947839046194,1.2809564474807855,3.333333333333333
435,0.0,70.85427135678391,0.0,0.0,0.0,63.189269746646794,5.4227156276686586,13.333333333333336
468,47.058823529411775,60.30150753768844,0.0,0.0,0.0,44.709388971684064,4.483347566182749,28.333333333333336
484,0.0,72.8643216080402,0.0,0.0,0.0,65.87183308494784,23.569598633646454,16.666666666666668
533,35.29411764705883,45.7286432160804,0.0,0.0,0.0,44.41132637853949,18.061485909479075,16.666666666666668
535,23.529411764705888,66.33165829145727,0.0,0.0,0.0,49.031296572280176,9.564474807856529,3.333333333333333
589,0.0,36.68341708542713,0.0,0.0,0.0,31.44560357675112,11.272416737830913,6.666666666666668
601,35.29411764705883,48.24120603015075,0.0,0.0,0.0,35.3204172876304,4.782237403928267,11.666666666666668
619,0.0,59.79899497487436,0.0,0.0,0.0,48.28614008941879,2.690008539709649,5.0
643,23.529411764705888,45.226130653266324,0.0,0.0,0.0,41.728763040238455,22.715627668659266,16.666666666666668
697,0.0,49.748743718592955,0.0,0.0,0.0,37.257824143070046,7.4722459436379145,1.6666666666666667
703,11.764705882352944,64.82412060301507,0.0,0.0,0.0,57.377049180327866,9.64987190435525,33.333333333333336
